Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
R14,136.216mm,-78.930mm,Top,0.000000,R_0805_2012Metric,470R
R15,122.727mm,-79.499mm,Top,0.000000,R_0805_2012Metric,10k DNP
R16,150.074mm,-108.148mm,Top,0.000000,R_0805_2012Metric,10k DNP
R17,134.920mm,-76.335mm,Top,0.000000,R_0805_2012Metric,1k
R18,154.044mm,-80.449mm,Top,0.000000,R_0805_2012Metric,1k
R19,120.126mm,-72.331mm,Top,0.000000,R_0805_2012Metric,0R
R20,119.946mm,-74.556mm,Top,0.000000,R_0805_2012Metric,0R
R21,132.104mm,-73.661mm,Top,0.000000,R_0805_2012Metric,0R DNP
R22,120.979mm,-92.335mm,Top,0.000000,R_0805_2012Metric,0R DNP
R23,123.000mm,-64.500mm,Top,0.000000,R_1206_3216Metric,10k
R24,129.000mm,-55.000mm,Top,90.000000,R_1206_3216Metric,10k
R25,125.000mm,-55.500mm,Top,90.000000,R_1206_3216Metric,10k
R26,118.000mm,-67.000mm,Top,90.000000,R_1206_3216Metric,10k
R27,173.500mm,-87.500mm,Top,0.000000,R_0805_2012Metric,10k
R28,193.700mm,-65.100mm,Top,0.000000,R_0805_2012Metric,33
R29,199.200mm,-65.100mm,Top,0.000000,R_0805_2012Metric,33
R30,207.000mm,-92.000mm,Top,90.000000,R_2512_6332Metric,20m
R31,209.500mm,-57.500mm,Top,90.000000,R_0805_2012Metric,10k
R32,198.500mm,-68.000mm,Top,0.000000,R_0805_2012Metric,10k
R33,185.000mm,-54.500mm,Top,0.000000,R_0805_2012Metric,10k
R34,209.500mm,-62.500mm,Top,90.000000,R_0805_2012Metric,10k
R35,181.914mm,-83.556mm,Top,0.000000,R_0805_2012Metric,10k
R36,205.000mm,-68.000mm,Top,0.000000,R_1206_3216Metric,18k
R37,193.000mm,-68.500mm,Top,0.000000,R_1206_3216Metric,18k
R38,179.500mm,-54.500mm,Top,0.000000,R_1206_3216Metric,18k
R39,199.000mm,-71.500mm,Top,0.000000,R_1206_3216Metric,18k
R40,176.900mm,-65.058mm,Top,-90.000000,R_0805_2012Metric,1k
R41,180.600mm,-65.146mm,Top,90.000000,R_0805_2012Metric,1k
R42,206.500mm,-84.500mm,Top,90.000000,R_1206_3216Metric,18k
R43,191.000mm,-82.500mm,Top,90.000000,R_1206_3216Metric,18k
R44,206.500mm,-79.000mm,Top,0.000000,R_1206_3216Metric,18k
R45,186.500mm,-88.500mm,Top,0.000000,R_1206_3216Metric,18k
R46,201.000mm,-82.000mm,Top,0.000000,R_0805_2012Metric,4.02k
R47,191.500mm,-88.000mm,Top,90.000000,R_0805_2012Metric,4.02k
R48,202.000mm,-96.500mm,Top,0.000000,R_0805_2012Metric,4.02k
R49,197.000mm,-96.500mm,Top,0.000000,R_0805_2012Metric,4.02k
R50,156.282mm,-84.788mm,Top,0.000000,R_0805_2012Metric,100k
R51,173.000mm,-65.117mm,Top,-90.000000,R_0805_2012Metric,1k
R52,184.500mm,-65.088mm,Top,-90.000000,R_0805_2012Metric,1k
R53,188.205mm,-65.100mm,Top,0.000000,R_0805_2012Metric,33
R54,204.713mm,-65.100mm,Top,0.000000,R_0805_2012Metric,33
R55,100.500mm,-59.500mm,Top,0.000000,R_0805_2012Metric,2k49
R56,102.000mm,-63.000mm,Top,0.000000,R_0805_2012Metric,2k49
R57,95.500mm,-56.000mm,Top,90.000000,R_0805_2012Metric,2k2
R58,96.500mm,-61.000mm,Top,90.000000,R_0805_2012Metric,470R
R59,93.500mm,-54.500mm,Top,90.000000,R_0805_2012Metric,470R
R60,93.000mm,-61.000mm,Top,90.000000,R_0805_2012Metric,470R
R61,106.000mm,-54.500mm,Top,90.000000,R_0805_2012Metric,470R
R62,102.500mm,-54.500mm,Top,90.000000,R_0805_2012Metric,470R
R63,105.500mm,-58.500mm,Top,0.000000,R_0805_2012Metric,1k
R64,96.000mm,-66.000mm,Top,90.000000,R_0805_2012Metric,12k
R65,82.500mm,-75.500mm,Top,0.000000,R_0805_2012Metric,12k
R66,77.000mm,-85.500mm,Top,0.000000,R_0805_2012Metric,12k
