Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
88,3,"R131,R132,R126",RC0805FR-071ML,Yageo,Widerstand RC0805FR-071ML ±1% 0.125W 0805,0805,SMD,DigiKey,311-1.00MCRCT-ND,
89,1,U1,DEV-16771,SparkFun (PJRC),Teensy4.1,Teensy41,SMD,DigiKey,1568-16771-ND,
90,1,U2,W25Q32RVCSJQ TR,Winbond,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,SMD,DigiKey,256-W25Q32RVCSJQTR-ND,Nur ~39 St. bei DigiKey; Alternative W25Q32JVSSIQ via Mouser
91,1,U3,MCP2562-E/SN,Microchip Technology,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,SMD,DigiKey,MCP2562-E/SN-ND,
92,1,U4,SN74AHC1G32DCKR,Texas Instruments,74AHC1G32,SOT-353_SC-70-5,SMD,DigiKey,296-8749-1-ND,
93,1,U5,ADXL343BCCZ-RL,Analog Devices,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,SMD,DigiKey,ADXL343BCCZ-RLCT-ND,
94,1,U6,USBLC6-2SC6,STMicroelectronics,USBLC6-2SC6,SOT-23-6,SMD,DigiKey,497-5235-1-ND,
95,1,U7,MCZ33810EK,NXP,MC33810,SOIC32-P0.65-33N,SMD,DigiKey,MCZ33810EK-ND,Last Time Buy 30.04.2027 - Bedarf sichern
96,1,U8,TPS3823-33DBVR,Texas Instruments,TPS3823-33DBV,SOT-23-5,SMD,DigiKey,296-1357-1-ND,
97,1,U9,SN74LVC1G00DCKR,Texas Instruments,74LVC1G00,SOT-353_SC-70-5,SMD,DigiKey,296-9846-1-ND,
98,2,"U11,U10",LMV324IDR,Texas Instruments,LMV324,SOIC-14_3.9x8.7mm_P1.27mm,SMD,DigiKey,296-9569-1-ND,
99,1,U12,DRV8434APWPR,Texas Instruments,DRV8434A,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,SMD,DigiKey,296-DRV8434APWPRCT-ND,
100,2,"U13,U14",BTF3050TEATMA1,Infineon,BTF3050TE,TO-252-5_TabPin3,SMD,DigiKey,BTF3050TEATMA1CT-ND,
101,1,U15,LM74700QDBVRQ1,Texas Instruments,LM74700-Q1,SOT-23-6,SMD,DigiKey,296-LM74700QDBVRQ1CT-ND,
102,1,U16,TPS54360BQDDARQ1,Texas Instruments,TPS54360B-Q1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,SMD,DigiKey,296-46985-1-ND,
103,1,U17,TPS7B6950QDCYRQ1,Texas Instruments,TPS7B6950-Q1,SOT-223-3_TabPin2,SMD,DigiKey,296-40985-1-ND,
104,1,U18,SN74LVC1G125DCKR,Texas Instruments,74LVC1G125,SOT-353_SC-70-5,SMD,DigiKey,296-11604-1-ND,
105,1,Y1,CSTCR4M00G53-R0,Murata,CSTCR4M00G53-R0,Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm,SMD,DigiKey,490-1200-1-ND,
